car_brand,car_system,car_model,register_time,meter_mile,sell_times,car_class,price
长安,奔奔,2015款 1.4L IMT豪华型 国IV,2015/1/7,4.65,2,saloon,2.96
本田,本田XR-V,2015款 1.5L LXi 手动经典版,2016/1/9,2.58,0,suv,8.28
东风风光,东风风光580,2017款 1.8L 手动舒适型,2019/1/1,2.36,0,suv,6.22
长安欧尚,欧尚X70A,2018款 1.5L 手动舒适型,2018/1/7,1.97,0,suv,4.5599
宝骏,宝骏310,2016款 1.2L 手动时尚型,2017/1/11,1.7,0,saloon,3.27
东风风光,东风风光370,2016款 1.5L 手动尊享型 7座,2016/1/5,5.87,0,mpv,3.35
长安,长安CS95,2017款 2.0T 两驱智途版,2019/1/1,3.09,0,suv,13.16
奔驰,奔驰B级,2012款 B 180,2013/1/10,5.89,2,saloon,9.84
长安,睿骋CC,2018款 1.5T 手动豪雅型,2018/1/9,0.7,0,saloon,9.3699
大众,速腾,2017款 1.6L 自动舒适型,2016/1/12,2.87,0,saloon,9.7
宝骏,宝骏530,2018款 1.5T 手动舒适型,2018/1/9,2.73,0,suv,5.28
大众,帕萨特,2017款 330TSI DSG尊荣版,2017/1/6,5.79,2,saloon,14.51
大众,帕萨特,2015款 1.8TSI DSG尊荣版,2016/1/1,5.99,0,saloon,11.57
宝骏,宝骏360,2018款 1.5L 自动豪华型,2019/1/3,1.82,1,mpv,6.4
宝马,宝马3系,2013款 320Li 豪华设计套装,2013/1/1,8.97,1,saloon,16.56
宝骏,宝骏530,2018款 1.8L 自动豪华型,2018/1/3,2.21,2,suv,7.07
宝骏,宝骏360,2018款 1.5L 自动豪华型,2018/1/5,0.96,0,mpv,6.4
宝骏,宝骏310,2016款 1.2L 手动豪华型,2017/1/2,2.79,1,saloon,3.4
奔驰,奔驰GLC级,2017款 GLC 260 4MATIC 动感型,2017/1/9,5.16,1,suv,31.98
比速汽车,比速T3,2017款 1.3T CVT旗舰型,2017/1/9,2.55,0,suv,5.58
长安,长安CS95,2017款 2.0T 两驱智远版,2018/1/8,1.83,0,suv,9.21
大众,途观,2015款 1.8TSI 自动两驱舒适版,2015/1/2,6.97,0,suv,13.16
宝骏,宝骏510,2017款 1.5L 手动时尚型,2018/1/2,0.5699,0,suv,4.47
别克,别克GL8,2017款 25S 尊贵型 国V,2018/1/4,0.71,0,mpv,20.1
宝骏,宝骏310W,2019款 1.5L 手动舒适型 国VI,2019/1/12,0.1,1,saloon,4.74
东风风光,东风风光580,2017款 1.5T CVT豪华型,2017/1/4,3.38,0,suv,6.87
宝骏,宝骏510,2017款 1.5L 手动舒适型,2018/1/9,1.37,1,suv,4.5599
大众,速腾,2018款 1.6L 自动舒适型,2018/1/2,6.23,0,saloon,8.75
宝骏,宝骏510,2017款 1.5L 自动豪华型,2018/1/1,1.21,0,suv,5.63
宝骏,宝骏310,2017款 1.5L 自动时尚型,2018/1/2,1.1,0,saloon,4.19
宝骏,宝骏530,2018款 1.5T 手动舒适型,2018/1/8,1.51,0,suv,5.93
宝骏,宝骏730,2014款 1.5L 手动舒适ESP版 7座,2015/1/3,14.59,0,mpv,4.75
大众,迈腾,2011款 1.8TSI DSG舒适型,2010/1/3,14.75,0,saloon,4.84
奔驰,奔驰E级,2015款 E 200 L 运动型 改款,2016/1/1,9.88,0,saloon,25.75
长安,长安CS95,2017款 2.0T 两驱智途版,2018/1/1,6,0,suv,9.03
大众,速腾,2017款 230TSI 自动舒适型,2017/1/2,3.54,0,saloon,10.06
本田,本田XR-V,2017款 1.5L LXi CVT经典版,2018/1/9,2.11,0,suv,11.16
奥迪,奥迪A8L,2013款 50 TFSI quattro豪华型,2014/1/7,12.56,0,saloon,37.81
宝骏,宝骏530,2018款 1.8L 自动豪华型,2018/1/3,1.26,1,suv,6.7
大众,迈腾,2018款 改款 330TSI DSG 豪华型,2018/1/8,4.0199,0,saloon,15.2
大众,速腾,2014款 1.8TSI 自动旗舰版,2014/1/3,5.83,0,saloon,9.22
比亚迪,秦,2017款 1.5T 尊贵型,2018/1/6,2.63,0,EV,9.58
标致,标致408,2018款 350THP 自动豪华版,2018/1/2,3.61,0,saloon,8.74
大众,帕萨特,2015款 1.8TSI DSG尊荣版,2015/1/7,7.22,1,saloon,12.09
大众,帕萨特,2016款 280TSI DSG尊荣版,2016/1/8,4.75,0,saloon,12.7899
大众,速腾,2018款 280TSI DSG熠动版,2019/1/1,2.86,0,saloon,11.63
巴博斯,巴博斯 S级,2011款 60S,2018/1/2,1.87,1,saloon,88.35
大众,迈腾,2017款 330TSI DSG 豪华型,2017/1/1,3.5,0,saloon,15.96
长安欧尚,欧尚X70A,2018款 1.5L 手动豪华型,2018/1/3,2.63,0,suv,5.12
本田,本田XR-V,2015款 1.8L EXi  CVT舒适版,2015/1/8,14.86,1,suv,10.3699
标致,标致5008,2017款 380THP 7座精英版,2017/1/10,5.91,1,suv,14.42
奔驰,奔驰GLC级,2017款 GLC 260 4MATIC 豪华型,2017/1/3,1.65,0,suv,31.62
宝骏,宝骏310W,2017款 1.5L 手动 时尚型 国V,2018/1/8,2.2799,0,saloon,4.92
宝骏,宝骏360,2018款 1.5L 自动精英型,2019/1/6,0.96,0,mpv,5.94
宝马,宝马3系,2016款 316i 时尚型,2016/1/1,6.5,0,saloon,17.31
比速汽车,比速T5,2017款 1.5T 自动豪华型,2018/1/2,1.09,0,suv,7.44
宝骏,宝骏310,2017款 1.5L 自动豪华型,2017/1/9,1.24,1,saloon,4
宝骏,宝骏360,2018款 1.5L 自动豪华型,2018/1/11,1.53,2,mpv,5.96
大众,帕萨特,2019款 330TSI 精英版,2020/1/1,0.06,1,saloon,18.79
奥迪,奥迪Q7,2015款 35 TFSI 运动型,2015/1/6,13.42,1,suv,31.44
本田,飞度,2014款 1.5L LX CVT舒适型,2015/1/8,3.21,0,saloon,6.14
大众,途观,2010款 1.8TSI 自动两驱风尚版,2010/1/10,7.9,0,suv,7.44
大众,速腾,2018款 1.6L 自动舒适型,2018/1/2,1.31,0,saloon,10.05
宝骏,宝骏360,2018款 1.5L 自动豪华型,2018/1/5,1.97,0,mpv,6.03
本田,艾力绅,2016款 2.4L 舒适版,2017/1/7,5.65,2,mpv,23.61
宝骏,宝骏360,2018款 1.5L 自动精英型,2019/1/10,0.84,2,mpv,6.42
标致,标致408,2019款 350THP 自动豪华版,2018/1/9,0.46,0,saloon,11.63
本田,艾力绅,2016款 2.4L 至尊版,2016/1/4,12.5399,2,mpv,23.07
本田,艾力绅,2016款 2.4L 豪华版,2016/1/11,9.3699,0,mpv,22.29
宝骏,宝骏360,2018款 1.5L 自动豪华型,2019/1/1,0.44,0,mpv,6.14
本田,艾力绅,2016款 2.4L 豪华版,2017/1/1,6.6,1,mpv,24.09
长安,长安CS35,2017款 1.6L 手动豪华型,2018/1/7,2.18,0,suv,5.58
别克,英朗,2017款 15N 自动豪华型,2017/1/8,3.49,0,saloon,6.9
标致,标致408,2011款 2.0L 手动舒适版,2012/1/4,11.05,1,saloon,3.33
本田,艾力绅,2016款 2.4L 豪华版,2019/1/6,0.74,0,mpv,25.97
别克,英朗,2018款 18T 自动精英型,2018/1/4,1.97,0,saloon,6.85
长安,长安CS35,2014款 1.6L 自动豪华型 国IV,2014/1/9,6.45,0,suv,4.09
本田,艾力绅,2016款 2.4L 至尊版,2017/1/9,3.51,1,mpv,26.42
本田,艾力绅,2016款 2.4L 至尊版,2017/1/4,6.92,2,mpv,25.11
别克,英朗,2019款 18T 自动互联精英型 国V,2019/1/5,0.96,0,saloon,8.24
宝骏,宝骏360,2018款 1.5L 手动 精英型 国V,2018/1/10,1.04,0,mpv,5.58
宝骏,宝骏360,2018款 1.5L 自动豪华型,2018/1/6,1.65,1,mpv,6.59
本田,艾力绅,2016款 2.4L 豪华版,2016/1/2,3.29,0,mpv,21.39
标致,标致408,2010款 2.0L 自动舒适版,2010/1/4,10.82,4,saloon,3.14
长安,长安CS35,2017款 1.6L 自动豪华型,2017/1/12,5.5199,1,suv,6.05
长安,长安CS35,2017款 1.6L 自动豪华型,2017/1/3,4.5,1,suv,5.86
长安,长安CS35,2017款 1.6L 手动豪华型,2018/1/9,2.91,0,suv,5.4
标致,标致408,2015款 1.2T 自动豪华版,2016/1/3,4.58,0,saloon,7.44
长安,长安CS35,2017款 1.6L 自动豪华型,2017/1/4,3.78,1,suv,5.7699
标致,标致408,2014款 1.6T 自动尊贵版,2015/1/10,2.5299,0,saloon,8.28
别克,英朗,2018款 15T 双离合 精英版 国V,2018/1/2,4.4,1,saloon,6.7
东风风行,景逸X6,2017款 劲享系列 1.5T 手动尊贵型,2018/1/8,0.77,0,suv,6.7
东风风行,风行F600,2016款 F600 2.0L 尊享型,2017/1/8,1.1399,0,mpv,7.44
东风风行,风行S500,2016款 1.5L 手动舒适型,2016/1/1,5.99,0,mpv,3.54
北汽威旺,北汽威旺M20,2014款 1.5L实用型BJ415A,2018/1/3,1.31,0,minibus,2.5299
东风风行,景逸X5,2013款 1.6L 手动尊享型 国V,2013/1/10,4.93,0,suv,2.05
北汽威旺,北汽威旺M60,2017款 1.5T CVT钻石版,2019/1/12,0.01,1,mpv,6.05
东风风行,景逸X5,2017款 1.6L CVT豪华型,2018/1/2,1.51,0,suv,5.58
东风风行,风行CM7,2018款 2.0T 手动豪华型,2019/1/4,1.06,0,mpv,11.63
别克,君威,2011款 2.4L SIDI精英版,2011/1/4,11.81,0,saloon,4.89
东风风行,景逸X3,2014款 1.5L 豪华型,2014/1/6,5.49,3,suv,2.79
东风风行,菱智,2018款 M5 1.6L 7座豪华型,2018/1/7,1.64,0,mpv,5.78
东风风行,风行S500,2016款 1.5L 手动舒适型,2015/1/12,4.21,0,mpv,4.47
北汽威旺,北汽威旺S50,2016款 1.5T 手动乐动豪华型,2016/1/7,4.8099,0,suv,5.12
东风风行,风行SX6,2016款 1.6L CVT豪华型,2017/1/1,11.6199,1,suv,5.58
东风风行,风行S500,2016款 1.5L 手动豪华型Ⅱ,2016/1/9,2.7799,3,mpv,4.47
北汽绅宝,绅宝X65,2015款 2.0T 自动精英型,2019/1/7,0.1,0,suv,7.63
东风风行,风行S500,2016款 1.6L CVT尊享型,2016/1/1,6.65,0,mpv,4.84
东风风行,菱智,2015款 1.6 手动 M3 7座舒适型,2015/1/6,4.65,0,mpv,3.19
东风风行,景逸X5,2016款 1.6L CVT豪华型,2016/1/5,5.3099,1,suv,4.19
东风风行,风行S500,2016款 1.5L 手动豪华型Ⅱ,2016/1/5,5.91,1,mpv,3.58
北汽威旺,北汽威旺M60,2017款 1.5T CVT钻石版,2019/1/12,0.01,1,mpv,6.01
东风风行,风行SX6,2016款 1.6L 手动豪华型,2017/1/4,2.89,0,suv,4.47
昌河,昌河Q35,2016款 1.5 自动 炫酷版,2017/1/11,1.29,2,suv,4.22
东风风行,风行SX6,2016款 1.6L 手动精英型,2016/1/11,16.87,0,suv,4.36
北汽威旺,北汽威旺S50,2016款 1.5T 手动欢动尊贵型,2016/1/6,3.63,0,suv,5.3099
